DEPTH,CMRP_3ms,CMFF,BVI,Kair,Cpor
13691.99898,0.0388007,0.0219197,0.0279005,0.15312,0.0590139
13693.98558,0.0960848,0.0333809,0.0811227,0.27359,0.0656687
13696.03448,0.1565907,0.0575383,0.1100407,1.75087,0.1204064
13698.01492,0.177934,0.0791228,0.0981441,5.16385,0.1494351
13700.02907,0.1724136,0.0995422,0.0737074,12.29876,0.1919637
13701.97279,0.1694912,0.1022021,0.067525,12.43841,0.1356318
13703.96154,0.1636569,0.092947,0.0665989,4.23415,0.1400043
13705.97709,0.133934,0.0611908,0.0633705,2.60006,0.1061434
13708.02302,0.085905,0.0344448,0.0413421,0.31068,0.054524
13710.01346,0.0667173,0.0288752,0.0390347,0.32415,0.0762294
13712.00912,0.1018872,0.0429441,0.0607616,1.15579,0.1359031
13713.99096,0.1455006,0.0693373,0.0761643,1.75186,0.18206
13716.00667,0.1538098,0.0806818,0.0731275,9.53496,0.1789321
13718.01196,0.1548812,0.0834388,0.0735937,12.10049,0.1298868
13719.97939,0.1579564,0.0863455,0.0741831,8.51824,0.1184204
13721.98029,0.1739279,0.0933892,0.0790904,4.67577,0.2119475
13724.03185,0.1697658,0.0959047,0.0706563,4.69046,0.1488643
13726.03493,0.1587569,0.0917178,0.0648081,20.77245,0.1261338
13727.99326,0.155252,0.0846625,0.0731659,9.141,0.1826284
13730.03165,0.1536172,0.0772607,0.077524,8.20288,0.1338624
13732.02738,0.1619944,0.081205,0.0807899,2.54004,0.1264962
13733.97274,0.1658979,0.0890119,0.0828357,4.58776,0.1420116
13735.96701,0.1762812,0.0966418,0.078012,17.07691,0.2145588
13738.03727,0.1695461,0.097991,0.0716732,7.77382,0.1408036
13739.97402,0.1683136,0.0984862,0.0665617,4.47108,0.2063704
13741.98718,0.1659165,0.0912252,0.0747401,8.59867,0.1691586
13743.99791,0.1582227,0.074356,0.0846107,3.34082,0.1669739
13746.02313,0.1528585,0.0632859,0.0940484,2.75179,0.1267005
13747.96412,0.1627965,0.0637106,0.0984991,1.70031,0.1584351
13749.99343,0.1826603,0.078959,0.1037017,5.99154,0.2219264
13752.02351,0.1847442,0.0743906,0.1082483,6.51996,0.2144827
13754.02261,0.1565827,0.0550352,0.0896037,1.36916,0.135551
13756.01579,0.0942954,0.033189,0.0470888,0.32922,0.098838
13757.96686,0.0393359,0.0173628,0.015982,0.19526,0.0689704
13771.99081,0.0284444,0.0048985,0.0279611,0.25935,0.021623
13773.97113,0.0432944,0.007217,0.0377211,0.29388,0.0111056
13775.99249,0.060928,0.018711,0.045602,0.24907,0.0813388
13777.98186,0.095057,0.0357056,0.0727972,0.20869,0.0840597
13780.01724,0.1462355,0.0654001,0.0875521,2.03159,0.1079344
13782.02544,0.1650389,0.0852618,0.0814718,11.85217,0.1732823
13784.00183,0.184402,0.1016515,0.0830242,22.52947,0.1877719
13786.0391,0.1742036,0.1056856,0.068518,7.55291,0.1948114
13787.97096,0.1459762,0.0843163,0.059561,6.58158,0.1582643
13790.01967,0.0832993,0.0397013,0.0317388,0.44964,0.0920636
13792.00964,0.0358476,0.0124911,0.0121134,0.0559,0.0699177
13801.97363,0.0309702,0.0040225,0.0271748,0.18745,0.0323501
13804.02947,0.0284904,0.0049676,0.0240495,0.06841,0.0428022
13812.02238,0.053916,0.003611,0.0542841,0.18617,0.0841378
13814.02355,0.0782599,0.0109173,0.0633053,0.13533,0.0406746
13816.02851,0.0912315,0.026441,0.0670637,0.44318,0.0825451
13817.97837,0.1014444,0.0423456,0.0661437,0.67834,0.0724044
13820.00994,0.1331313,0.0569631,0.0805175,2.28077,0.0984341
13822.02574,0.1364924,0.058516,0.0778795,2.97708,0.0977835
13824.02627,0.0974611,0.0334958,0.0503698,0.77651,0.0846738
13826.013,0.0478212,0.0158554,0.02721,0.12401,0.036644
13828.0273,0.037393,0.0210325,0.0194219,0.1195,0.0207662
13829.97967,0.0755164,0.0490625,0.0378281,0.83773,0.0519284
13831.99848,0.1205499,0.0741288,0.0536855,1.20361,0.1524326
13833.98095,0.1459239,0.0865956,0.0615076,3.72687,0.175104
13835.99235,0.1450841,0.0827291,0.0636873,3.99035,0.1290331
13838.02657,0.1479843,0.0825557,0.0659211,12.12538,0.1664991
13840.03982,0.1470264,0.0806391,0.0666079,2.31534,0.1789976
13841.98825,0.1429179,0.0834691,0.0573163,12.1991,0.1601342
13843.98031,0.1362675,0.0861766,0.0494496,9.47501,0.1210631
13846.01815,0.138169,0.090925,0.0502586,5.62924,0.1008486
13847.96099,0.1496362,0.0932459,0.0578513,18.29495,0.1397308
13849.9704,0.159774,0.0927676,0.0660175,10.15572,0.1543385
13851.99547,0.148823,0.0835642,0.0589455,6.69394,0.1680456
13853.97916,0.1149412,0.0603229,0.0414029,3.29529,0.1099057
13856.02468,0.0507373,0.0289261,0.0218111,0.16584,0.0267856
13863.99838,0.0266143,0.0098564,0.0167585,0.17237,-0.0070355
13866.02076,0.0553009,0.0196085,0.0356924,0.09146,0.0687053
13868.03209,0.0738989,0.0378356,0.0360632,1.28249,0.0355838
13869.98073,0.0871264,0.047058,0.0435012,1.50539,0.0671311
13871.96365,0.1047677,0.0538161,0.0570617,1.47171,0.1323713
13873.99913,0.1353806,0.068129,0.0719853,5.4239,0.1369643
13875.98062,0.1549469,0.0794527,0.0742005,3.95637,0.1817742
13878.03953,0.1564492,0.0841076,0.0701281,7.33868,0.1752991
13879.9775,0.1361978,0.0715157,0.0618408,3.50207,0.1586361
13882.03242,0.0933186,0.0467955,0.0415637,0.43645,0.1079878
13884.0281,0.0420238,0.0235586,0.0133295,0.10615,0.0452032
13904.00499,0.0326426,0.0198868,0.02218,0.17074,0.0704359
13905.97154,0.0685091,0.0431682,0.0336169,0.65287,0.0379537
13907.99712,0.1005503,0.0699452,0.0349166,5.36081,0.1042684
13910.01525,0.1148365,0.0757526,0.0414853,3.81121,0.1292304
13912.0112,0.1206032,0.0768907,0.0452519,2.99796,0.100213
13913.96111,0.1244278,0.0737306,0.0512339,1.78383,0.1298147
13915.98886,0.1188405,0.0685914,0.0462271,2.37717,0.1429303
13918.01925,0.0986497,0.0491082,0.0432304,0.36727,0.112773
13919.97897,0.076389,0.0390422,0.035204,0.66645,0.1082604
13922.01061,0.0822422,0.0464256,0.0436082,1.2205,0.1172167
13923.98414,0.1114366,0.0668886,0.0489857,1.26748,0.1345248
13925.98699,0.1281278,0.0799157,0.0503664,2.35005,0.1587362
13928.00636,0.1338108,0.0838893,0.0487203,5.64169,0.107156
13929.97793,0.1316631,0.0818044,0.0509913,3.64461,0.1495825
13932.00405,0.1336469,0.0795142,0.0548236,1.68617,0.1148987
13934.03335,0.1277747,0.0826137,0.0458215,5.46924,0.1645569
13935.99172,0.128456,0.085452,0.0443823,7.42212,0.1619046
13937.97049,0.1319835,0.0872454,0.0424692,10.75113,0.1264759
13939.99798,0.1390295,0.0793743,0.0618715,4.83911,0.1202332
13942.03135,0.1344371,0.0676344,0.0641314,1.67299,0.1436238
13944.02297,0.103619,0.0455334,0.0512052,0.51671,0.1186845
13946.02758,0.0528566,0.0273906,0.0195774,0.10694,0.0427086
13975.99472,0.0328692,0.0167556,0.0234428,0.20469,0.0308325
13977.98553,0.0630453,0.0403874,0.0303071,0.54578,0.0839796
13980.01707,0.0969266,0.0663428,0.0347362,1.62933,0.0771915
13982.02795,0.110589,0.0683322,0.0422585,4.5099,0.1377839
13984.02655,0.0943695,0.0467861,0.038546,0.75451,0.0850963
13986.02699,0.0521561,0.025307,0.0211222,0.16917,0.0215069
14017.99823,0.0646781,0.0291028,0.0441481,0.32849,0.0323232
14020.01371,0.0967815,0.042749,0.0571294,1.76611,0.0769115
14021.98961,0.1200594,0.0573187,0.0627407,0.7254,0.1572899
14023.97974,0.1191951,0.0609431,0.0590507,0.6061,0.1521768
14025.9714,0.1283755,0.061536,0.069121,2.47608,0.1562565
14027.96646,0.1294665,0.0571255,0.0756875,0.53205,0.1164084
14030.01993,0.1366547,0.057781,0.0786349,0.70497,0.1413364
14031.97533,0.1383438,0.0699093,0.058714,1.09655,0.1243975
14034.03423,0.1396499,0.0920266,0.0476232,6.46158,0.144791
14036.01475,0.1476489,0.1045552,0.0449653,6.45648,0.1701854
14037.99703,0.1438534,0.1029616,0.0413544,7.07498,0.1294416
14039.96193,0.1418712,0.1004758,0.0396802,5.40124,0.1367066
14041.96063,0.1339937,0.0973861,0.0359476,4.29024,0.1000045
14044.01866,0.1316217,0.0957929,0.0358288,3.36317,0.1017589
14046.01431,0.1311386,0.0960866,0.0339513,25.77594,0.1024577
14047.99466,0.1332363,0.0968452,0.0352989,17.4287,0.1318294
14050.01562,0.135869,0.0995582,0.0359384,24.60304,0.1335585
14051.99008,0.1378118,0.099804,0.0411398,10.85984,0.1488184
14054.02533,0.1434583,0.0990641,0.0462762,18.28485,0.103672
14056.01264,0.154421,0.0984788,0.0559422,5.94488,0.1612168
14058.03768,0.1556854,0.0976255,0.0574526,4.52555,0.136016
14059.97695,0.1678079,0.1095604,0.059157,18.68865,0.1853947
14061.97313,0.1823326,0.1200394,0.0623355,26.93144,0.1440472
14064.03802,0.1607567,0.1019505,0.0492247,14.40381,0.1754489
14065.96352,0.1137032,0.0692364,0.040997,1.34224,0.1299766
14068.01061,0.0736674,0.0392261,0.0269489,0.52362,0.1120346
14070.02976,0.0509378,0.0267217,0.0200899,0.24641,0.0647023
14093.97393,0.0341512,0.0181614,0.0217445,0.14456,0.0300917
14095.96179,0.0877589,0.0525965,0.0428007,2.43668,0.103535
14098.01426,0.1279568,0.0925174,0.0409825,5.09165,0.1230808
14100.00312,0.1442156,0.1049822,0.041995,16.015,0.1568557
14102.01799,0.1494258,0.104518,0.0451129,11.78518,0.109673
14104.02903,0.1487651,0.0979222,0.0526449,4.00832,0.1551273
14106.00924,0.1474885,0.0976137,0.0499653,27.46749,0.1307899
14107.99519,0.1429884,0.0984945,0.0454529,26.4683,0.1276175
14110.02554,0.1406521,0.0994583,0.0400561,16.25302,0.1174479
14112.00203,0.1373562,0.0982,0.0381194,28.52035,0.1305777
14114.03425,0.1383595,0.0987574,0.0407265,4.07162,0.1479331
14116.03221,0.1443596,0.0974648,0.0464248,4.63355,0.162753
14118.03822,0.1447457,0.0988693,0.0486314,11.69717,0.1502274
14120.00564,0.1466012,0.0986949,0.0480501,11.79923,0.1794324
14121.96315,0.1529073,0.0988762,0.0562471,3.92746,0.1601799
14123.99719,0.1552467,0.0993308,0.0528654,10.6303,0.1352828
14125.9941,0.1492751,0.0983057,0.0475267,9.24899,0.1822913
14128.02437,0.1351259,0.0936963,0.039821,6.14877,0.167071
14130.0007,0.1359019,0.0858048,0.0457957,4.72497,0.1631062
14131.96914,0.1133809,0.067258,0.0404704,1.54911,0.1231123
14133.97923,0.0883097,0.0411951,0.039512,0.62989,0.1186178
14135.98015,0.0562616,0.0231422,0.0253165,0.33448,0.0611413
14138.03516,0.0255877,0.0124305,0.0108954,0.10242,0.013277
