Index,Porosity,Permeability,Path
1,0.292,1770,1.png
2,0.31,2200,Great_SS.png
3,0.218,28.4,12.png
4,0.144,23,MediumSS.png
5,0.159,4.9,DistalTurbidite.png
6,0.235,95,HighPor_SS.png
7,0.17,33,Medium-highSS.png
8,0.27,372,11.png
9,0.2,5,3.png
10,0.055,0.016,Slightlybetterthanshale.png
11,0.105,0.271,15.png
12,0.107,0.008,16.png
13,0.076,2.24,17.png
14,0.1306,10.37,18.png
15,0.092,2.57,19.png
16,0.03,0.001,Shale_reddish.png
17,0.04,0.04,Siltstone.png
18,0.36,5125,HighPermSS2.png
19,0.33,3240,HighPermSS1.png